Invoice|Customer ID|InvoiceDate
489434|13085.0|2009-12-01 07:45:00
489435|13085.0|2009-12-01 07:46:00
489436|13078.0|2009-12-01 09:06:00
489437|15362.0|2009-12-01 09:08:00
489438|18102.0|2009-12-01 09:24:00
489439|12682.0|2009-12-01 09:28:00
489440|18087.0|2009-12-01 09:43:00
489441|18087.0|2009-12-01 09:44:00
489442|13635.0|2009-12-01 09:46:00
489443|14110.0|2009-12-01 09:50:00
489444|12636.0|2009-12-01 09:55:00
489445|17519.0|2009-12-01 09:57:00
489446|13758.0|2009-12-01 10:06:00
489447|12362.0|2009-12-01 10:10:00
489448|15413.0|2009-12-01 10:18:00
C489449|16321.0|2009-12-01 10:33:00
489450|16321.0|2009-12-01 10:36:00
C489459|17592.0|2009-12-01 10:44:00
489460|16167.0|2009-12-01 10:46:00
489461|17865.0|2009-12-01 10:49:00
489462|17592.0|2009-12-01 10:49:00
489464||2009-12-01 10:52:00
489465|13767.0|2009-12-01 10:52:00
489463||2009-12-01 10:52:00
489467||2009-12-01 10:53:00
C489476|13293.0|2009-12-01 10:55:00
489488|17238.0|2009-12-01 10:59:00
C489503|16011.0|2009-12-01 11:04:00
C489504|13916.0|2009-12-01 11:10:00
489505|15712.0|2009-12-01 11:17:00
489514|15311.0|2009-12-01 11:21:00
489517|16329.0|2009-12-01 11:34:00
C489518|15461.0|2009-12-01 11:35:00
489519|17700.0|2009-12-01 11:37:00
489520|14911.0|2009-12-01 11:41:00
489521||2009-12-01 11:44:00
489522|15998.0|2009-12-01 11:45:00
489523|12931.0|2009-12-01 11:46:00
C489524|15614.0|2009-12-01 11:48:00
489525||2009-12-01 11:49:00
489526|12533.0|2009-12-01 11:50:00
C489527|16128.0|2009-12-01 11:50:00
C489528|16714.0|2009-12-01 11:50:00
489529|17984.0|2009-12-01 11:51:00
C489530|14748.0|2009-12-01 11:56:00
489531|14871.0|2009-12-01 11:57:00
489532|13394.0|2009-12-01 11:58:00
489533|16011.0|2009-12-01 12:02:00
C489534|12615.0|2009-12-01 12:09:00
C489535|15299.0|2009-12-01 12:11:00
489536|16393.0|2009-12-01 12:13:00
489537|14040.0|2009-12-01 12:14:00
C489538|15796.0|2009-12-01 12:18:00
489540|12913.0|2009-12-01 12:18:00
C489541|15091.0|2009-12-01 12:18:00
489539|15061.0|2009-12-01 12:18:00
489542|15061.0|2009-12-01 12:19:00
C489543|14292.0|2009-12-01 12:19:00
489544|14341.0|2009-12-01 12:20:00
489545|17804.0|2009-12-01 12:22:00
489546|14156.0|2009-12-01 12:30:00
